"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UFL1-AS1",169.466924886449,0.407200607801055,0.121979766721457,3.33826353948443,0.000843037498967937,0.785301473681476
"USP32P1",747.86307927609,1.01570103166517,0.303594220131335,3.34558751225822,0.000821084440843592,0.785301473681476
"C9orf43",24.9753098377379,-0.617123827670695,0.190042592053211,-3.24729220435965,0.00116508705960286,0.793348649033435
"CTSLP3",75.2374545758339,-0.522788495240754,0.158624504651588,-3.29576124690845,0.000981553940453005,0.793348649033435
"ENSG00000253013",13.3675806826009,0.924725975680712,0.284664558306473,3.24847596477094,0.0011602501058575,0.793348649033435
"ENSG00000254989",17.7737619930161,-0.744159374751365,0.229213439729631,-3.24657827930657,0.00116801322435374,0.793348649033435
"ENSG00000260710",28.9224591333023,0.865159976986552,0.263256838594568,3.28637228041378,0.00101486785077528,0.793348649033435
"ENSG00000287532",17.8850575600256,-0.940705492450405,0.286659326800695,-3.28161481068588,0.00103214495737749,0.793348649033435
"ENSG00000287857",12.6887622432461,-1.34045898911241,0.412154799946914,-3.25231924821709,0.0011446737427722,0.793348649033435
"ENSG00000287966",31.8198943741032,0.59253181904484,0.178624262221702,3.31719673282352,0.000909255671098248,0.793348649033435
"GREM2",360.173808116428,0.640455382102414,0.195477594693975,3.2763620971757,0.00105153650533459,0.793348649033435
"MARCO",11.7611230284225,-2.34101516460009,0.708073986268696,-3.30617309772447,0.00094579640067865,0.793348649033435
"PDCD6IPP2",335.989014090744,-0.216492332598283,0.0661839048692601,-3.2710722195365,0.00107140545817523,0.793348649033435
"PLEKHA2",3233.82167307233,-0.373661822014545,0.113728597368228,-3.28555728868009,0.00101780842420468,0.793348649033435
"ZSCAN4",26.7265741388462,-0.780372539569533,0.239341009817785,-3.2605049179146,0.00111214038551349,0.793348649033435
"ENSG00000286579",88.651804562011,-0.43887943945577,0.135999319335472,-3.22707085300315,0.00125064487427182,0.804895960114833
"FOSB",227.242247498764,-0.970844588934203,0.300793309672808,-3.22761363937998,0.00124827448164771,0.804895960114833
"HMGB1P8",142.063169848123,-0.255090876405824,0.0792309916963238,-3.21958454569816,0.00128376498868114,0.804895960114833
"RN7SL376P",108.645737157618,-0.341607468087179,0.105964124741713,-3.22380304579351,0.00126500371074667,0.804895960114833
"ENSG00000288595",46.0500919463943,-0.528415939519877,0.165009339084956,-3.2023395915053,0.00136316195614472,0.81360324112046
"LINC02086",596.968340233466,0.592270673241131,0.185143596043578,3.1989800668111,0.00137914704124888,0.81360324112046
"LINC02135",15.0999166094863,1.0685929858797,0.334439824389381,3.19517266770107,0.00139747205787031,0.81360324112046
"VPS37A",1038.60709148458,0.232770101555054,0.0725186353543701,3.20979704620196,0.00132828722407755,0.81360324112046
"DNAJC27-AS1",543.448077035509,0.334866713035741,0.105511332340133,3.17375115647523,0.00150482645330043,0.831556895880573
"ENSG00000237954",10.7271008276622,0.997816750606704,0.313779603235704,3.17999239057348,0.0014727891969646,0.831556895880573
"OTOG",61.0373967294489,-0.542187126332279,0.170834294348497,-3.17376044663628,0.00150477829194859,0.831556895880573
"C3orf20",32.307042514231,0.742523980376739,0.234791651755683,3.16248033021798,0.00156431303184879,0.846826918491384
