"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABHD14A",150.455505349701,-0.251698018556021,0.075011868414793,-3.35544259695289,0.000792380992209098,0.746172176339085
"ADAMDEC1",2336.54283137471,-0.579826514751864,0.173861132775271,-3.33499791181813,0.000853000398175576,0.746172176339085
"ATP5MC2",1007.60322408211,-0.267588242798675,0.0779235015167179,-3.43398637882393,0.000594774083351994,0.746172176339085
"CD177",106.808900309071,-2.05029794834513,0.613538847474346,-3.34175734231866,0.000832498052765677,0.746172176339085
"ENSG00000213358",281.645213514087,0.202014637700189,0.0625043938469754,3.23200698809695,0.00122924049937745,0.746172176339085
"ENSG00000267056",59.8506802886893,1.89285040078973,0.569903884987437,3.32135023229655,0.000895830463195483,0.746172176339085
"ENSG00000279851",94.788435872707,0.510423700216393,0.149866999783183,3.40584452184163,0.000659597313532936,0.746172176339085
"ENSG00000288793",137.334559014451,0.569563168819624,0.174190755888911,3.26976690532797,0.00107636139562271,0.746172176339085
"ENSG00000289073",17.8315937997502,-0.738397886109036,0.21827168401242,-3.38293026624114,0.000717168398505933,0.746172176339085
"GLRX5",217.221402299421,-0.33215355132036,0.100224327256317,-3.31410108117664,0.000919382644639815,0.746172176339085
"GOLGA8T",53.5333780902765,-2.40121646466897,0.736458644805089,-3.26049056740243,0.00111219666481348,0.746172176339085
"H2AZ2",2802.53614432809,-0.182851269553155,0.0556091497457739,-3.28815078793846,0.00100847809808508,0.746172176339085
"H2BC7",93.986479776844,-0.487057257180061,0.148895217840059,-3.27114103626383,0.0010711447656919,0.746172176339085
"LCT",381.871070194848,-1.58600730248307,0.4895665214925,-3.23961552282607,0.00119690970581758,0.746172176339085
"LINC01094",454.875447404444,0.230685981049834,0.0682151659998983,3.38174037500954,0.000720281845070199,0.746172176339085
"LINC01517",244.621999385709,0.209235427593635,0.0612220991716095,3.41764543236478,0.000631653370706794,0.746172176339085
"LINC02756",34.513751054986,0.624488947050595,0.19040582137098,3.27977864623091,0.00103888562279297,0.746172176339085
"LINC02804",67.052790254809,0.449546506956046,0.138977199686394,3.23467811965171,0.00121779934500408,0.746172176339085
"METAP1",677.199835927687,-0.209717197115187,0.06082162395994,-3.44806967425461,0.000564608370400023,0.746172176339085
"MIPEP",177.961426511245,-0.344398642201885,0.103389087119165,-3.3310927854981,0.000865057632429482,0.746172176339085
"MRPL42",2879.55510374526,-0.175273714257912,0.0531741995761724,-3.29621725677001,0.000979962004916899,0.746172176339085
"NDUFB3",178.612429965762,-0.375122243018388,0.1100346514039,-3.40912829033685,0.000651708240952198,0.746172176339085
"NDUFC2",432.29982654494,-0.487572755507573,0.148027170209386,-3.29380582509208,0.000988407527385444,0.746172176339085
"PINCR",17.0067533032046,0.698277003165029,0.214534732698754,3.25484360681838,0.00113454823836303,0.746172176339085
"RANBP3",1327.92286162517,-0.139076874342834,0.0423357939858808,-3.28508954831972,0.00101949963904477,0.746172176339085
"RN7SL797P",17.2048134413963,-0.780946441744499,0.2400734294075,-3.25294824867487,0.00114214296256115,0.746172176339085
"SALRNA2",18.484052383377,0.585274409628355,0.176164959518246,3.32230888156698,0.000892758064739272,0.746172176339085
"SYNE4",141.512330079671,-0.281355269913942,0.0869914394388878,-3.23428686464714,0.00121946902125299,0.746172176339085
"UQCRQ",549.230565606811,-0.479348365339493,0.144659777334987,-3.31362576502154,0.000920946796164391,0.746172176339085
"ZC4H2",219.389675570626,-0.279616110763825,0.0834375231631876,-3.35120339342948,0.000804611817713791,0.746172176339085
"MRPS16",1010.25350821943,-0.148768916542506,0.046211323293525,-3.21931738672697,0.0012849617515378,0.751632535826804
